"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"204";"V075-8";"8";"V075";"conference";"Numerical influence of ReLU’(0) on backpropagation";"";"";"NeurIPS";"";"";"Paris";"France";"";"";"";"";"";"";"";"";"29/06/2021";"28/09/2021";"28/09/2021";"";"David Bertoin, Jérôme Bolte, Sébastien Gerchinovitz, Edouard Pauwels";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000617";"0";"Réalisé";"1";"105";"204";"doc_final";"0";"2022-01/1642429789-882-V075-8_Numerical-influence-of-ReLU....0.-on-backpropagation.pdf";"";"Numerical influence of ReLU’(0) on backpropagation";"https://hal.archives-ouvertes.fr/hal-03265059v2";"0000000617";"1642429789";"1"
"219";"M081-6";"6";"M081";"conference";"Estimer les contraintes admissibles d’un matériau en associant essais physiques et essais virtuels";"";"";"JNC 22";"01/06/2021";"01/06/2021";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"S. Miot, L. Barrière, J. Camacho, M. De Lozzo";"IRT Saint Exupery";"";"";"";"";"";"";"";"";"";"";"";"";"0000000004";"0";"Réalisé";"1";"112";"219";"doc_final";"0";"2022-01/1643033398-837-JNC22_MIOT_Resume.pdf";"";"abstract";"";"0000000004";"1643033398";"1"
"238";"V075-9";"9";"V075";"conference";"A testing approach for dependable Machine Learning systems";"";"";"ERTS 2022";"01/06/2022";"02/06/2022";"Toulouse";"France";"https://www.erts2022.org/";"";"";"";"";"";"";"";"";"18/11/2021";"18/01/2022";"";"Cyril Cappi, Camille Chapdelaine, Laurent Gardes, Eric Jenn, Baptiste Lefevre, Sylvaine Picard, Thomas Soumarmon";"SNCF, Safran Tech et IRT Saint-Exupéry, SNCF, IRT Saint-Exupéry, THALES AVS, Safran Tech, Continental";"";"";"";"";"";"";"";"";"";"";"";"";"0000000084";"0";"Réalisé";"1";"123";"238";"doc_final";"0";"2022-02/1644220087-958-ERTS2022_paper_3.pdf";"";"";"";"0000000084";"1644220087";"1"
"240";"V075-10";"10";"V075";"conference";"Can we reconcile safety objectives with machine learning performances?";"";"";"ERTS ";"01/06/2022";"02/06/2022";"Toulouse";"France";"https://www.erts2022.org/";"";"";"";"";"";"";"";"05/09/2021";"18/11/2022";"28/01/2022";"";"Hugues Bonnin, Eric Jenn, Lucian Alecu, Thomas Fel, Laurent Gardes, Sébastien Gerchinovitz, Ludovic Ponsolle, Franck Mamalet, Vincent Mussot, Cyril Cappi, Kevin Delmas and Baptiste Lefevre";"Continental, IRT Saint Exupery, Continental, SNCF, SNCF, IRT Saint Exupery, APSYS, IRT Saint Exupery, IRT Saint Exupery, SNCF, ONERA, THALES AVS";"";"";"";"oui";"";"";"";"";"";"";"";"";"0000000084";"0";"Réalisé";"1";"394";"240";"doc_publie";"0";"2023-02/1677600549-175-ERTS2022_paper_39.pdf";"";"";"";"0000000595";"1677600549";"1"
"257";"A026-1";"1";"A026";"communication";"Optimisation des paramètres de matériaux à gradient élaborés par Laser Metal Deposition - Powder";"";"";"Journée des Doctorants AddimAlliance";"01/07/2021";"02/07/2021";"Albi";"FRANCE";"http://www.addimalliance.fr/siteWeb/journee-des-doctorants-2021/";"";"";"";"";"";"";"";"";"";"";"";"Agathe Curnis (1)(2) – Aurélien Prillieux (1) – Ioana Popa (2) – Lisa Nicolas (1) – Sébastien Chevalier (2)";"(1) Institut de Recherche Technologique (IRT) Saint Exupéry, 3 rue Tarfaye, 31400 Toulouse, France, (2) ICB, UMR 6303 CNRS, Univ. Bourgogne Franche-Comté, 21078 Dijon Cedex";"";"";"";"";"";"";"";"";"";"";"";"";"0000000804";"1";"Réalisé";"1";"296";"257";"doc_final";"0";"2023-01/1673429725-448-Pr..sentation-AddimAlliance_07-01_ACURNIS.pdf";"2022-08/1659558197-705-CURNIS-COnCOrD-JA2022.pdf";"Optimisation des paramètres de matériaux à gradient élaborés par Laser Metal Deposition - Powder";"";"0000000804";"1673429726";"1"
"261";"A026-2";"2";"A026";"conference";"Corrosion à haute température de matériaux à gradient élaborés par Laser Metal Deposition - Powder";"";"";"52ème JECH";"30/03/2022";"01/04/2022";"La Rochelle";"FRANCE";"https://apps.univ-lr.fr/cgi-bin/WebObjects/Colloque.woa/wa/menu?code=2861&idMenu=11722&lang=fr";"";"";"";"";"";"";"";"25/02/2022";"";"";"";"Agathe Curnis (1)(2) – Aurélien Prillieux (1) – Ioana Popa (2) – Lisa Nicolas (1) – Sébastien Chevalier (2)";"S:\Opérations\Springboards\SPRINGBOARD 2021\A026 -Thèse Matériaux à Gradients\10- AC\6- Présentations\2022-03-31_Présentation JECH\Abstract JECH 2022_AC_v4.docx";"";"";"";"";"";"";"";"";"";"";"";"";"0000000804";"1";"Réalisé";"1";"204";"261";"abstract";"142";"";"2022-06/1656333052-743-Abstract-JECH-2022_AC.pdf";"CORROSION À HAUTE TEMPÉRATURE DE MATÉRIAUX À GRADIENT ÉLABORÉS PAR LASER METAL DEPOSITION – POWDER";"";"0000000367";"1656333052";"1"
"263";"M014-1";"1";"M014";"conference";"OXYDATION ET NITRURATION D’UN SUPERALLIAGE A BASE DE NICKEL  LORS DE TRAITEMENT DE COMPACTION ISOSTATIQUE A CHAUD";"";"";"52ème JECH";"31/03/2022";"01/04/2022";"La Rochelle";"France";"https://apps.univ-lr.fr/cgi-bin/WebObjects/Colloque.woa/wa/menu?code=2861&idMenu=11722&lang=fr";"";"";"";"";"";"";"";"";"";"";"";"Nicolas MROZOWSKI (1), Aurélien PRILLIEUX (1), Clara DESGRANGES (2), Enrica EPIFANO (3), Daniel MONCEAU (3)";"(1) IRT Saint Exupéry, (2) SAFRAN TECH, (3) CIRIMAT-CNRS";"";"";"";"";"";"";"";"";"";"";"";"";"0000001251";"1";"Réalisé";"1";"146";"263";"doc_final";"0";"2022-03/1647015890-280-2022_MAT_MROZOWSKI_OXYDATION-ET-NITRURATION-D...UN-SUPERALLIAGE-A-BASE-DE-NICKEL_JECH---Presentation.pdf";"2022-03/1646132805-115-2022_MAT_MROZOWSKI_OXYDATION-ET-NITRURATION-D...UN-SUPERALLIAGE-A-BASE-DE-NICKEL_JECH.pdf";"";"";"0000000832";"1647015890";"1"
"264";"M015-1";"1";"M015";"conference";"Deep learning architecture for the detection, labeling and online measurement of surface treatment defects by laser";"";"";"IAA2022";"03/03/2022";"04/03/2022";"Carvoeiro, Algarve ";"Portugal";"https://web.fe.up.pt/~iaa2022/";"";"";"";"";"";"";"";"03/11/2021";"03/11/2021";"";"";"B Martin1 , S Kirchner1 , J Lecomte1 , J-B Duga1 , L Ferres1 , M Peron1,2 , N Cuvillier1,3";"1: IRT Saint Exupéry, Esplanade des Arts et Métiers, 33405 Talence, France ; 2: ArianeGroup, Les cinq chemins Rue du Touban, 33185 Le Haillan, France ; 3: Safran Composites, 33 Avenue de la Gare, 91760 Itteville, France";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000381";"1";"Réalisé";"1";"332";"264";"doc_publie";"0";"2023-02/1676977861-471-2022-03-03-IAA2022_V0.pdf";"2022-03/1646302487-488-IAA22_16_Martin.pdf";"";"";"0000000217";"1676977861";"1"
"268";"S008-1";"1";"S008";"conference";"Stray light analysis of Compact Gas Imager";"";"";"ICSO 2022";"03/10/2022";"07/10/2022";"Dubrovnik";"Croatie";"https://atpi.eventsair.com/icso2022/";"";"";"";"";"";"";"";"02/05/2022";"";"22/08/2022";"";"V. Khodnevych1, D. Simeoni2, N. Tetaz2, B. Chetrite2, M. Carlavan2";"";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000967";"1";"Réalisé";"1";"459";"268";"doc_final";"0";"2023-03/1678813297-390-Khodnevych_47.pdf";"2022-03/1648476391-923-ICSO2022.pdf";"Stray light analysis of Compact Gas Imager  V. Khodnevycha, D. Simeonia, ";"";"0000000967";"1678813297";"1"
"275";"V075-13";"13";"V075";"conference";"Leveraging Influence Functions for Dataset Exploration and Cleaning";"";"";"ERTS22";"";"";"";"";"";"";"";"";"";"";"";"";"23/03/2022";"";"";"";"Agustin Martin Picard, David Vigouroux, Petr Zamolodtchikov, Quentin Vincenot, Jean-Michel Loubes, Edouard Pauwels";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000617";"0";"Réalisé";"1";"154";"275";"doc_final";"0";"2022-04/1649258266-280-V075-13_Leveraging_Influence_Functions_for_Dataset_Exploration_and_Cleaning_finalV2.pdf";"";"Leveraging_Influence_Functions_for_Dataset_Exploration_and_Cleaning_finalV2";"";"0000000617";"1649258266";"1"
