"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"508";"E039-40";"40";"E039";"communication";"BREVET - DPI-2019-005 - Utilisation d’un fil de litz pour limiter des surtensions dans une chaîne électromécanique";;;"INPI";;;;;;;;;;;;;;;"12/01/2022";;"COGO FRANCA Bernardo SEGOND Gilles HOFFMANN SATHLER Hans";"IRT Saint-Exupéry";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";"376";"508";"doc_final";"0";"2023-02/1677493218-913-.DPI-2019-005.-34887-FR_Compte-rendu-de-d..p..t.pdf";;;;"0000000046";"1677493218";"1"
"509";"E039-41";"41";"E039";"communication";"BREVET - DPI 2019-008 - Câble méplat multi-couches avec permutations des couches pour la réalisation d’une bobine électrique";;;"INPI";;;;;;;;;;;;;;;"26/09/2022";;"COGO FRANCA Bernardo SEGOND Gilles FLEURY Alexandre";"IRT Saint-Exupéry";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";"377";"509";"doc_final";"0";"2023-02/1677493363-739-DPI-2019-008_35332-FR_Compte-rendu-d..p..t-demande-de-brevet-FR.pdf";;;;"0000000046";"1677493363";"1"
"510";"V116-1";"1";"V116";"communication";"BREVET - DPI-2022-006 - Control method for low cost power module with hybrid WBG and Si IGBT switch";;;"International";;;;;;;;;;;;;;;"29/07/2022";;"Michel Pouget, Ayman Ayad, Bernardo Cogo França,  Marco Vinicio Teixeira Andrade";"VITESCO,  IRT Saint Exupéry";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";"379";"510";"doc_final";"0";"2023-02/1677496449-157-DPI-2022-006.pdf";;;;"0000000046";"1677496449";"1"
"519";"E003-4";"4";"E003";"communication";"Modélisation de la distribution aléatoire des conducteurs dans les encoches d’un bobinage statorique : impact sur les impédances de mode commun et différentiel";;;"CEM Toulouse 2023";"13/06/2023";"15/06/2023";"Toulouse";"FRANCE";"https://cem2023.sciencesconf.org/";;;;;;;;"28/12/2022";"01/03/2023";"01/05/2023";;"A. Piat, S. Hlioui, P.-E. Lévy, F. Costa";"IRT Saint Exupéry, Cergy Paris Université (SATIE), ENS Paris-Saclay (SATIE), Université Paris Est Créteil (SATIE)";;;;;;;;;;;;;"0000000821";"1";"Abstract en attente d'envoi de notification interne";"0";"386";"519";"abstract";"0";;"2023-02/1677592108-787-CEM-2023.pdf";"Modélisation de la distribution aléatoire des conducteurs dans les encoches d’un bobinage statorique : impact sur les impédances de mode commun et différentiel";;"0000000821";"1677592108";"1"
"520";"E003-4";"4";"E003";"communication";"Modélisation de la distribution aléatoire des conducteurs dans les encoches d’un bobinage statorique : impact sur les impédances de mode commun et différentiel";;;"CEM 2023 Toulouse";"13/06/2023";"15/06/2023";"Toulouse";"France";"https://cem2023.sciencesconf.org/data/pages/CEM2023_appel_v2bis.pdf";;;;;;;;"28/12/2022";"01/03/2023";"01/05/2023";;"A. Piat, S. Hlioui, P.-E. Lévy, F. Costa";"IRT Saint Exupéry, , CY Cergy Paris Université (SATIE), ENS Paris-Saclay (SATIE), Université Paris Est Créteil (SATIE)";;;;;;;;;;;;;"0000000821";"1";"Réalisé";"1";"387";"520";"doc_final";"0";"2023-02/1677597689-159-CEM-2023.pdf";"2023-02/1677597822-684-CEM-2023.pdf";"Modélisation de la distribution aléatoire des conducteurs dans les encoches d’un bobinage statorique : impact sur les impédances de mode commun et différentiel";;"0000000821";"1677597689";"1"
"521";"E003-5";"5";"E003";"communication";"Predictive sensitivity analysis of HF impedance of motor windings";;;"EMC Europe 2023";"04/09/2023";"08/09/2023";"Kraków";"Pologne";"https://emceurope2023.org/";;;;;;;;"06/03/2023";"30/04/2023";"01/06/2023";;"A. Piat, S. Hlioui, P.-E. Lévy, F. Costa";"IRT Saint Exupéry, , CY Cergy Paris Université (SATIE), ENS Paris-Saclay (SATIE), Université Paris Est Créteil (SATIE)";;;;;;;;;;;;;"0000000821";"1";"Réalisé";"1";"392";"521";"doc_final";"0";"2023-02/1677599295-727-EMC-2023.pdf";"2023-02/1677598700-985-EMC-2023.pdf";"Predictive sensitivity analysis of HF impedance of motor windings";;"0000000821";"1677599295";"1"
"530";"E003-6";"6";"E003";"communication";"ACTIVE EMI FILTER FOR HIGH POWER CONVERTERS";;;"2022 ESA WORKSHOP Virtual ON AEROSPACE EMC";"23/05/2023";"25/05/2023";"Full Online Event";"Full Online Event";"https://atpi.eventsair.com/QuickEventWebsitePortal/emc-2022/emc2022/ExtraContent/ContentSubPage?page=4&subPage=2";;;;;;;;;;;;"R. Perraud, P. Benjamin, F. Kapaun, S. Serpaud, A.Loehrmann, T.Dörlemann, S. Frei";"Airbus CRT, Airbus CRT, Airbus DS, IRT Saint Exupéry, Airbus CRT, TU Dortmund, TU Dortmund";;;;;;;;;;;;;"0000000821";"0";"Réalisé";"1";"408";"530";"doc_final";"0";"2023-03/1677664008-691-2022_ESA_Workshop_on_Aerospace_EMC.pdf";"2023-03/1677663897-211-2022_ESA_Workshop_on_Aerospace_EMC.pdf";"ACTIVE EMI FILTER FOR HIGH POWER CONVERTERS";;"0000000821";"1677664008";"1"
"532";"E003-7";"7";"E003";"communication";"DIGITAL ACTIVE EMI FILTER IMPLEMENTATION ON A 10 KW POWER CHAIN";;;"21e colloque international et l'exposition sur la Compatibilité  ElectroMagnétique CEM ";"13/06/2023";"15/06/2023";"Toulouse";"France";"https://cem2023.sciencesconf.org/";;;;;;;;;;;;"D. Guedon, S. Serpaud, M. Pascaru, R. Perraud, T. Dörlemann, S. Frei";"AIRBUS SAS, IRT Saint-Exupéry, AIRBUS SAS, AIRBUS SAS, Technische Universität Dortmund, Technische Universität Dortmund";;;;;;;;;;;;;"0000000821";"1";"Réalisé";"1";"410";"532";"abstract";"0";;"2023-03/1677664348-556-Article_CEM2023_Active_filter_and_10kW_application_FINAL.pdf";"DIGITAL ACTIVE EMI FILTER IMPLEMENTATION ON A 10 KW POWER CHAIN";;"0000000821";"1677664348";"1"
"535";"U011-1";"1";"U011";"communication";"H2 Rich Gases For The Steel Industry: New Opportunities Of Applications For CMCs?";;;"HT CMC 11";"27/08/2023";"31/08/2023";"Jeju";"Korée";"https://www.ht-cmc11.org/";;;;;;;;"31/03/2023";"30/04/2023";;;"Maelle Dupont, Laurent Ferres, Gérard Vignoles (LCTS), Pierre Briand (LCTS)";;;;;;;;;;;;;;"0000000856";"1";"Réalisé";"1";"413";"535";"abstract";"0";;"2023-03/1677667552-486-Abstract---H2-rich-gases-for-the-steel-industry.docx";"H2 Rich Gases For The Steel Industry: New Opportunities Of Applications For CMCs?";;"0000000856";"1677667552";"1"
"544";"S017-1";"1";"S017";"communication";"DIGITWIX : Exploring the intersection between AI and optimization for Digital Twin in Spacecraft Operation ";;;"Simulation for European Space Programmes (SESP) ";"28/03/2023";"30/03/2023";"Noordwijk";"Hollande";"https://atpi.eventsair.com/sesp2023/";;;;;;;;"06/11/2022";"14/12/2022";"05/03/2023";;"DENIS Jules-Edouard(1), GRANGIER Alexandre(2), DE LOZZO Matthias(2), MULLOR Thomas(2) , BOISSIN Thibaut(2), VIGOUROUX David (2) , Benoît GIRAUD(3), ";"(1) Airbus DS, ; (2) IRT Saint Exupery; (3) Thales Alenia Space";;;;;;;;;;;;;"0000001139";"1";"Réalisé";"1";"421";"544";"abstract_extend";"0";"2023-03/1677743062-830-Template_SESP-.2..doc";"2023-03/1677743139-541-DIGITWIX_SESP_review.docx";"Template de la conférence";"Template imposé par les organisateur de la conférence pour l’article scientifique.";"0000001139";"1677743062";"1"
